POW_SA4_CODE_2021,NG_NNI_Mng,NG_NNI_Pro,NG_NNI_TecTW,NG_NNI_CoPSW,NG_NNI_ClAW,NG_NNI_SWks,NG_NNI_MaOpDv,NG_NNI_Lab,NG_NNI_IDNS,NG_NNI_Tot,NG_1_149_Mng,NG_1_149_Pro,NG_1_149_TecTW,NG_1_149_CoPSW,NG_1_149_ClAW,NG_1_149_SWks,NG_1_149_MaOpDv,NG_1_149_Lab,NG_1_149_IDNS,NG_1_149_Tot,NG_150_299_Mng,NG_150_299_Pro,NG_150_299_TecTW,NG_150_299_CoPSW,NG_150_299_ClAW,NG_150_299_SWks,NG_150_299_MaOpDv,NG_150_299_Lab,NG_150_299_IDNS,NG_150_299_Tot,NG_300_399_Mng,NG_300_399_Pro,NG_300_399_TecTW,NG_300_399_CoPSW,NG_300_399_ClAW,NG_300_399_SWks,NG_300_399_MaOpDv,NG_300_399_Lab,NG_300_399_IDNS,NG_300_399_Tot,NG_400_499_Mng,NG_400_499_Pro,NG_400_499_TecTW,NG_400_499_CoPSW,NG_400_499_ClAW,NG_400_499_SWks,NG_400_499_MaOpDv,NG_400_499_Lab,NG_400_499_IDNS,NG_400_499_Tot,NG_500_649_Mng,NG_500_649_Pro,NG_500_649_TecTW,NG_500_649_CoPSW,NG_500_649_ClAW,NG_500_649_SWks,NG_500_649_MaOpDv,NG_500_649_Lab,NG_500_649_IDNS,NG_500_649_Tot,NG_650_799_Mng,NG_650_799_Pro,NG_650_799_TecTW,NG_650_799_CoPSW,NG_650_799_ClAW,NG_650_799_SWks,NG_650_799_MaOpDv,NG_650_799_Lab,NG_650_799_IDNS,NG_650_799_Tot,NG_800_999_Mng,NG_800_999_Pro,NG_800_999_TecTW,NG_800_999_CoPSW,NG_800_999_ClAW,NG_800_999_SWks,NG_800_999_MaOpDv,NG_800_999_Lab,NG_800_999_IDNS,NG_800_999_Tot,NG_1000_1249_Mng,NG_1000_1249_Pro,NG_1000_1249_TecTW,NG_1000_1249_CoPSW,NG_1000_1249_ClAW,NG_1000_1249_SWks,NG_1000_1249_MaOpDv,NG_1000_1249_Lab,NG_1000_1249_IDNS,NG_1000_1249_Tot,NG_1250_1499_Mng,NG_1250_1499_Pro,NG_1250_1499_TecTW,NG_1250_1499_CoPSW,NG_1250_1499_ClAW,NG_1250_1499_SWks,NG_1250_1499_MaOpDv,NG_1250_1499_Lab,NG_1250_1499_IDNS,NG_1250_1499_Tot,NG_1500_1749_Mng,NG_1500_1749_Pro,NG_1500_1749_TecTW,NG_1500_1749_CoPSW,NG_1500_1749_ClAW,NG_1500_1749_SWks,NG_1500_1749_MaOpDv,NG_1500_1749_Lab,NG_1500_1749_IDNS,NG_1500_1749_Tot,NG_1750_1999_Mng,NG_1750_1999_Pro,NG_1750_1999_TecTW,NG_1750_1999_CoPSW,NG_1750_1999_ClAW,NG_1750_1999_SWks,NG_1750_1999_MaOpDv,NG_1750_1999_Lab,NG_1750_1999_IDNS,NG_1750_1999_Tot,NG_2000_2999_Mng,NG_2000_2999_Pro,NG_2000_2999_TecTW,NG_2000_2999_CoPSW,NG_2000_2999_ClAW,NG_2000_2999_SWks,NG_2000_2999_MaOpDv,NG_2000_2999_Lab,NG_2000_2999_IDNS,NG_2000_2999_Tot,NG_3000_3499_Mng,NG_3000_3499_Pro,NG_3000_3499_TecTW,NG_3000_3499_CoPSW,NG_3000_3499_ClAW,NG_3000_3499_SWks,NG_3000_3499_MaOpDv,NG_3000_3499_Lab,NG_3000_3499_IDNS,NG_3000_3499_Tot,NG_3500mo_Mng,NG_3500mo_Pro,NG_3500mo_TecTW,NG_3500mo_CoPSW,NG_3500mo_ClAW,NG_3500mo_SWks,NG_3500mo_MaOpDv,NG_3500mo_Lab,NG_3500mo_IDNS,NG_3500mo_Tot,NG_PINS_Mng,NG_PINS_Pro,NG_PINS_TecTW,NG_PINS_CoPSW,NG_PINS_ClAW,NG_PINS_SWks,NG_PINS_MaOpDv,NG_PINS_Lab,NG_PINS_IDNS,NG_PINS_Tot,NG_Tot_Mng,NG_Tot_Pro,NG_Tot_TecTW,NG_Tot_CoPSW,NG_Tot_ClAW,NG_Tot_SWks,NG_Tot_MaOpDv,NG_Tot_Lab,NG_Tot_IDNS,NG_Tot_Tot,SG_NNI_Mng,SG_NNI_Pro,SG_NNI_TecTW,SG_NNI_CoPSW,SG_NNI_ClAW,SG_NNI_SWks,SG_NNI_MaOpDv,SG_NNI_Lab,SG_NNI_IDNS,SG_NNI_Tot,SG_1_149_Mng,SG_1_149_Pro,SG_1_149_TecTW,SG_1_149_CoPSW,SG_1_149_ClAW,SG_1_149_SWks,SG_1_149_MaOpDv,SG_1_149_Lab,SG_1_149_IDNS,SG_1_149_Tot,SG_150_299_Mng,SG_150_299_Pro,SG_150_299_TecTW,SG_150_299_CoPSW,SG_150_299_ClAW,SG_150_299_SWks,SG_150_299_MaOpDv,SG_150_299_Lab,SG_150_299_IDNS,SG_150_299_Tot
201,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,10,3,3,3,3,0,0,0,26,4,9,0,16,10,0,0,0,0,30,0,8,0,6,6,0,0,5,0,26,6,18,0,12,17,0,0,11,0,65,0,26,10,9,37,9,0,11,4,97,3,42,5,22,81,0,6,4,0,162,4,59,10,21,131,8,9,3,3,246,9,87,6,15,135,4,6,0,0,264,23,97,15,17,86,3,3,5,0,242,38,135,0,4,39,0,0,0,4,215,75,175,4,3,18,0,0,0,0,277,11,32,0,0,0,0,0,0,0,44,28,23,0,0,0,0,0,0,0,54,0,10,0,0,3,0,0,0,0,10,202,718,56,129,568,29,24,36,17,1769,0,0,0,0,3,0,0,0,0,7,0,4,3,9,15,0,0,0,0,32,0,24,0,24,22,0,0,9,0,76
202,0,0,0,0,5,0,0,0,0,7,0,0,0,5,3,0,0,0,0,8,0,0,0,3,6,0,0,0,0,16,0,7,0,5,0,0,0,0,0,15,0,4,0,0,12,0,0,0,0,21,0,19,4,5,20,5,0,0,0,60,0,14,0,9,15,5,13,0,0,61,6,21,0,7,48,0,26,0,0,107,4,39,4,5,80,5,12,0,0,149,3,58,9,8,125,4,3,0,6,215,9,62,7,6,69,0,6,0,3,162,18,74,5,0,39,0,0,0,3,144,41,115,8,0,19,0,0,0,0,191,8,12,0,0,0,0,0,0,0,20,11,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,5,109,448,40,61,448,28,57,10,23,1223,0,3,0,3,0,0,0,0,0,16,0,11,3,9,0,0,0,0,0,25,0,20,0,33,4,0,0,3,0,68
203,0,8,0,0,13,0,0,0,0,17,3,9,0,3,16,0,0,0,0,21,5,33,0,7,18,0,0,0,0,64,4,31,0,4,27,3,0,0,0,66,5,33,5,13,44,6,0,0,0,97,3,87,5,9,83,8,3,0,0,202,9,63,4,13,148,12,6,9,3,260,5,101,4,11,216,7,4,9,9,367,30,168,18,21,378,14,15,5,9,663,43,240,34,37,446,3,9,4,13,831,75,340,67,37,322,3,8,6,27,885,113,407,39,26,174,3,3,0,15,777,383,666,28,21,146,0,5,0,14,1258,61,99,0,0,4,0,0,0,0,167,77,116,0,3,12,0,0,0,0,203,3,10,0,0,8,0,0,0,0,26,810,2399,219,187,2043,66,48,34,85,5897,0,19,0,7,3,0,0,0,0,30,0,13,6,18,4,0,0,10,0,52,8,38,3,46,18,0,0,11,7,120
204,0,0,0,0,6,0,0,4,0,8,0,0,0,0,9,0,0,0,0,10,0,0,0,0,8,0,0,0,0,12,0,0,0,4,11,3,0,0,0,22,0,0,0,0,11,4,0,0,0,26,6,7,0,13,17,6,6,0,0,51,6,14,10,52,30,6,16,5,0,145,12,24,88,145,48,11,26,7,8,370,11,31,165,178,101,10,57,6,11,576,34,52,64,158,123,0,38,0,3,477,89,120,47,103,76,0,32,0,12,484,133,77,38,75,27,0,12,0,3,372,229,100,16,69,45,0,8,0,4,465,24,12,0,7,3,0,0,0,0,45,17,12,0,0,0,0,0,0,0,34,0,6,3,0,0,0,0,0,0,9,578,450,446,806,513,34,193,21,49,3099,0,4,0,3,0,0,0,0,0,15,0,4,3,10,7,0,0,4,0,27,0,17,3,22,3,0,0,4,0,58
205,0,0,0,0,7,0,0,0,0,11,0,0,0,0,3,0,0,0,0,5,0,4,0,0,16,4,0,0,0,22,0,5,0,6,26,0,0,0,0,43,0,3,0,4,34,0,0,0,0,47,0,12,6,13,74,16,0,0,5,125,7,14,7,14,105,15,0,0,0,158,10,21,0,29,145,11,3,0,3,227,36,58,8,22,205,15,4,0,7,351,42,83,14,23,229,3,14,0,18,422,94,159,28,28,130,3,0,0,10,453,51,106,14,13,64,0,0,0,4,267,134,204,14,14,35,0,0,0,3,405,13,54,0,0,0,0,0,0,0,79,24,36,0,0,4,0,0,0,0,61,0,5,0,0,4,0,0,0,0,12,416,772,85,171,1081,77,26,9,49,2696,5,8,0,4,4,0,0,0,0,21,0,16,6,16,3,0,0,0,0,41,0,36,4,55,17,0,0,8,0,126
206,11,32,4,3,26,0,0,0,4,82,5,112,12,24,50,3,0,3,4,208,7,243,9,33,69,3,0,0,4,372,9,259,31,27,110,12,0,9,6,457,16,237,24,49,123,9,0,12,10,466,22,597,38,64,243,45,4,15,14,1035,33,712,37,70,379,39,8,8,14,1298,77,898,64,68,741,76,12,0,31,1963,155,1338,124,96,1451,113,13,12,58,3365,316,1944,197,120,2105,59,15,10,104,4874,621,3144,293,133,2147,48,3,4,105,6506,901,3600,220,144,1376,31,7,0,93,6368,3447,7206,307,279,1386,54,4,3,155,12839,1007,1454,35,29,182,21,0,4,28,2754,1594,1902,14,18,173,16,0,0,23,3746,14,59,0,11,40,0,0,0,18,150,8236,23726,1399,1157,10604,523,80,89,676,46491,9,58,0,18,19,0,0,0,8,113,0,75,11,48,26,0,0,4,3,169,8,99,22,101,65,5,0,7,7,309
207,5,13,0,0,3,0,0,3,0,23,0,37,0,4,12,0,0,0,0,63,5,68,4,3,19,3,0,0,0,103,0,70,0,13,15,3,0,0,0,102,0,64,0,8,23,5,0,0,0,97,4,211,3,11,39,8,0,3,0,291,11,169,3,12,72,9,5,0,3,288,11,185,6,20,106,5,6,3,3,339,14,275,16,18,245,8,7,0,3,571,56,368,26,14,380,0,3,0,13,857,77,546,50,23,337,4,0,0,22,1063,129,610,36,9,172,0,0,0,6,960,387,1331,13,3,148,8,0,0,7,1898,69,226,0,0,19,0,0,0,4,312,144,284,0,0,14,0,0,0,0,444,0,19,0,0,0,0,0,0,3,29,918,4479,159,145,1604,54,12,15,70,7446,0,22,0,8,4,0,0,3,0,26,4,43,10,16,5,0,0,3,0,77,3,54,9,36,11,0,0,6,4,129
208,0,5,0,0,8,0,0,0,0,9,0,10,0,3,3,4,0,0,0,19,0,10,0,8,7,0,0,0,0,30,0,15,0,14,8,3,0,0,0,43,0,23,3,12,23,9,5,0,0,63,0,45,0,22,23,10,0,0,3,111,5,51,5,19,49,8,0,0,4,137,6,57,6,12,89,14,0,0,5,191,10,74,7,12,165,9,0,0,10,285,19,85,10,7,206,10,0,0,3,346,37,102,15,10,129,4,0,0,3,299,38,141,7,3,49,0,0,0,5,246,114,345,3,0,32,3,0,0,0,502,18,75,0,0,5,0,0,0,0,96,34,118,0,0,5,0,0,0,0,168,0,4,0,4,0,0,0,0,0,11,286,1163,54,123,796,79,10,9,44,2559,0,6,0,5,3,0,0,0,0,12,0,17,4,23,4,0,0,0,0,45,0,40,3,38,8,0,0,6,0,94
209,0,4,0,0,4,0,0,0,0,9,0,17,0,11,5,0,0,0,4,38,0,35,0,10,10,0,0,0,0,56,0,40,0,4,9,3,0,0,0,73,5,47,4,13,20,7,0,0,6,98,5,94,5,24,33,4,0,0,0,169,9,99,17,25,70,18,0,5,6,248,20,114,49,53,121,11,12,7,9,377,21,166,106,75,215,11,14,6,8,622,37,217,75,66,261,4,3,0,11,682,92,395,103,66,212,3,5,0,12,885,127,425,33,35,100,0,0,0,11,726,263,730,25,30,76,0,3,0,8,1137,47,123,3,0,3,0,0,0,0,179,104,141,0,3,10,0,0,0,0,254,0,11,0,0,10,0,0,0,4,31,733,2658,418,424,1151,62,44,26,65,5576,0,13,5,8,7,0,0,0,0,33,3,44,7,43,11,0,0,0,0,107,3,67,10,45,33,0,0,10,0,171
210,0,3,0,0,9,0,0,0,0,13,0,6,0,0,7,0,3,5,0,20,0,0,0,5,17,0,3,3,0,27,0,4,0,3,24,4,0,6,0,47,0,0,4,3,31,6,8,0,0,63,0,3,4,10,63,12,12,7,0,120,3,12,7,16,77,15,26,5,0,166,0,32,24,14,220,11,44,8,5,357,18,81,35,17,300,16,58,16,5,539,24,51,82,28,311,6,38,9,25,582,49,104,75,34,264,8,27,10,16,572,47,94,62,45,148,4,10,5,8,422,155,219,70,76,97,9,8,5,8,639,31,89,7,3,6,0,0,0,0,142,81,283,0,0,15,0,0,0,0,381,4,0,0,0,8,0,0,0,0,21,418,989,373,262,1581,97,234,82,81,4112,0,9,0,4,4,0,0,0,0,19,0,11,0,7,3,5,0,0,0,26,0,25,7,21,3,0,0,9,0,60
211,4,0,0,3,0,0,0,0,0,6,0,0,0,6,4,0,0,0,0,14,0,3,0,3,7,0,3,0,0,14,9,10,0,11,13,0,0,0,0,36,3,12,0,11,13,5,4,0,0,50,0,14,5,15,26,9,11,0,0,89,0,21,0,15,34,18,14,0,0,105,5,25,4,9,81,12,28,3,0,174,7,56,6,13,152,9,34,3,5,287,8,38,9,8,125,4,12,0,3,206,15,49,6,3,99,0,4,0,5,188,28,71,0,4,23,0,6,0,4,135,35,70,8,4,26,0,0,0,3,147,9,14,0,0,4,0,0,0,0,26,7,20,0,0,0,0,0,0,0,31,3,0,0,0,3,0,0,0,0,11,139,406,40,100,610,64,116,13,31,1514,3,14,0,3,3,0,0,0,0,30,5,18,3,19,4,0,0,8,0,65,0,49,3,56,20,0,0,3,0,140
212,5,9,0,5,15,0,0,0,0,42,0,56,8,12,30,0,4,0,0,120,9,104,9,43,49,8,8,7,5,246,4,103,7,33,62,9,16,4,0,240,5,119,17,33,63,7,16,5,0,261,14,334,32,65,111,20,26,3,3,611,8,257,35,35,171,39,36,9,5,603,22,286,42,39,306,28,83,11,4,819,43,390,66,44,610,39,91,10,18,1311,68,543,89,48,712,13,52,0,12,1541,135,814,104,38,643,6,32,5,24,1796,206,986,60,9,266,6,12,0,19,1570,542,1784,74,10,188,10,5,0,21,2635,107,295,11,4,17,6,0,0,0,439,188,395,3,0,16,0,0,0,0,601,0,22,3,3,14,0,3,0,6,49,1357,6499,561,425,3267,188,386,67,127,12884,4,9,0,13,7,0,0,0,0,44,0,38,3,21,4,0,0,4,0,71,0,65,5,60,16,3,0,5,0,159
213,0,0,0,0,5,0,0,0,0,11,0,12,0,4,11,0,0,0,0,32,0,16,0,17,18,0,0,0,8,56,0,16,0,15,25,7,0,4,0,71,3,31,0,22,29,7,3,0,0,104,3,46,6,28,64,19,11,9,6,177,7,54,10,23,107,30,34,6,3,276,11,92,15,41,285,15,95,12,6,566,18,162,35,39,359,28,98,0,9,763,37,220,38,43,387,11,75,8,7,822,84,338,43,29,295,6,35,0,17,840,109,328,35,19,146,3,22,0,11,669,255,414,38,19,102,0,9,0,4,834,37,81,3,0,8,4,0,0,0,135,64,73,0,3,3,3,0,4,0,157,0,3,4,0,12,0,4,0,0,27,644,1887,224,292,1856,139,396,37,71,5544,4,20,3,9,9,0,0,4,0,40,0,31,3,15,8,0,0,5,0,68,9,67,9,51,11,5,0,7,4,155
