POW_SA4_CODE_2021,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
201,576,1360,197,59,2192,1841,1116,151,62,3167,2533,798,115,80,3528,2737,605,124,68,3532,2647,543,82,56,3326,2603,451,98,31,3187,2739,532,91,57,3428,2641,530,116,71,3360,2366,618,168,54,3206,1715,736,173,39,2667,664,578,89,19,1351,244,329,35,15,626,129,198,28,19,372,23434,8405,1458,639,33937,233,1883,262,52,2423,1221,1805,248,62,3340,1845,1476,325,70,3721,1434,1708,379,49,3572,1367,1974,268,40,3652,1580,1886,146,39,3656,1846,1866,145,41,3894,1876,1788,171,39,3875,1516,1858,230,37,3640,991,1563,208,30,2793,303,696,98,17,1121,81,264,33,16,390,33,102,21,23,175,14337,18881,2535,513,36258,808,3245,459,105,4621,3060,2919,398,126,6506,4372,2275,439,152,7240,4167,2311,496,121,7101,4021,2518,350,103,6984,4191,2339,245,68,6840,4586,2400,231,94,7317,4519,2318,284,109,7240,3884,2479,394,84,6845,2704,2303,382,73,5461,962,1275,193,37,2469,322,595,70,31,1016
202,548,1390,158,53,2153,1817,1029,142,68,3056,2547,672,99,69,3393,2753,571,111,57,3493,2715,531,102,50,3400,2580,536,95,52,3265,2700,488,101,48,3336,2694,571,109,57,3435,2297,637,151,51,3143,1770,805,189,42,2805,723,608,91,28,1452,223,322,42,15,603,135,195,18,27,375,23511,8365,1413,616,33905,209,1930,237,54,2430,1182,1657,205,54,3098,1795,1353,259,51,3452,1394,1670,413,55,3528,1327,1996,255,62,3633,1594,1867,144,41,3648,1963,1804,143,49,3960,1790,1796,177,43,3808,1578,1858,223,35,3693,952,1590,214,28,2781,331,738,118,18,1207,72,272,27,19,387,47,110,16,24,190,14222,18640,2426,537,35816,759,3325,393,102,4580,2995,2690,339,126,6154,4342,2031,359,117,6848,4145,2243,529,108,7022,4043,2528,355,110,7032,4169,2402,247,91,6914,4660,2289,240,102,7299,4487,2369,288,100,7242,3876,2497,382,87,6832,2723,2394,400,78,5594,1056,1349,208,48,2653,292,595,67,31,986
203,835,2697,374,59,3970,3259,2626,371,135,6387,5079,1821,232,161,7291,5652,1124,219,127,7121,5693,1102,192,116,7095,5085,906,198,91,6286,5124,980,182,79,6365,4769,903,192,109,5963,4119,1099,240,69,5523,2782,1264,236,56,4334,1068,1036,159,36,2306,317,578,63,19,978,170,311,27,25,529,43939,16448,2681,1080,64153,307,3690,547,63,4602,2250,3982,549,118,6900,3909,2880,555,131,7474,3371,3460,814,97,7750,3033,4064,605,104,7809,3073,3869,330,78,7353,3596,3680,268,81,7624,3319,3371,305,76,7073,2632,3330,378,56,6395,1547,2724,320,56,4647,425,1304,168,28,1934,108,462,52,12,640,39,152,17,28,231,27603,36978,4911,931,70425,1142,6389,916,129,8578,5510,6609,920,251,13282,8985,4699,787,294,14765,9017,4588,1037,228,14870,8722,5170,792,221,14911,8160,4775,532,171,13634,8722,4656,446,169,13991,8086,4272,495,185,13039,6747,4429,615,128,11919,4323,3986,562,114,8977,1501,2346,332,64,4238,423,1042,118,30,1614
204,964,1454,217,70,2706,2184,955,149,93,3379,2731,734,105,96,3666,2859,588,116,84,3642,2844,491,121,87,3542,2818,482,123,59,3480,3027,527,113,64,3734,3136,569,155,88,3948,2975,731,184,69,3956,2274,936,228,39,3471,1078,810,158,45,2091,477,512,41,30,1057,334,368,39,43,783,27694,9145,1742,867,39451,385,1849,349,89,2665,1315,1447,193,82,3048,1693,1330,294,62,3376,1436,1608,376,73,3489,1468,1905,249,60,3677,1660,1799,155,48,3664,2051,1857,160,58,4126,2120,1916,200,62,4303,1794,1931,268,45,4036,1248,1907,265,45,3465,482,973,148,42,1646,165,429,40,11,647,95,191,30,39,355,15912,19127,2738,718,38492,1350,3299,568,158,5366,3499,2409,344,174,6422,4422,2063,402,161,7040,4294,2192,495,148,7133,4315,2390,366,147,7218,4478,2276,282,109,7141,5072,2387,272,123,7861,5257,2488,362,151,8251,4766,2659,448,113,7989,3525,2841,491,85,6934,1564,1783,300,90,3737,642,937,85,45,1701
205,1069,2071,283,105,3528,2884,1286,174,136,4481,3998,899,171,152,5228,4209,769,159,132,5273,4276,831,173,128,5404,3918,734,169,117,4934,4126,797,153,108,5186,4354,904,227,109,5594,4127,1039,309,109,5592,3155,1403,366,88,5007,1386,1085,202,74,2749,550,639,72,47,1310,353,468,45,58,932,38412,12937,2510,1359,55220,447,2895,439,106,3897,1863,2240,324,118,4538,2612,2176,463,112,5355,2192,2740,595,104,5636,2113,3136,400,77,5730,2345,2779,262,86,5470,2834,2955,253,103,6142,2845,3183,315,108,6448,2397,3237,421,75,6135,1579,2954,399,65,5002,578,1444,182,54,2255,213,546,59,28,847,90,255,42,42,430,22118,30532,4141,1084,57877,1515,4968,722,213,7420,4745,3529,497,255,9021,6608,3073,637,261,10580,6407,3509,755,237,10906,6385,3969,577,207,11137,6264,3508,430,196,10398,6958,3745,405,217,11326,7202,4087,537,216,12040,6531,4280,735,185,11722,4736,4356,764,156,10009,1966,2535,383,121,5006,765,1186,128,76,2159
206,864,4235,937,142,6176,13815,13415,2197,701,30128,37785,11119,1897,1040,51836,48984,8426,1969,992,60373,52745,6654,1723,875,61992,44629,5075,1197,590,51497,35830,4290,966,415,41500,29864,3857,925,355,35008,22166,3740,958,275,27146,13454,3817,915,178,18365,5227,2913,523,117,8785,1747,1765,205,64,3778,596,1043,144,85,1866,307704,70356,14552,5840,398447,494,5841,1164,147,7649,13757,17142,2832,652,34381,39193,15160,2971,826,58148,40512,15862,5618,834,62819,34019,17320,4874,612,56830,27410,13951,1893,384,43627,24071,11105,1101,304,36582,20228,9678,1098,292,31303,14131,7932,1061,232,23359,7841,6407,886,151,15283,2732,3472,540,95,6840,699,1557,208,61,2522,143,583,106,85,915,225229,126010,24347,4677,380255,1359,10073,2102,296,13825,27567,30558,5028,1354,64509,76976,26277,4870,1861,109988,89499,24288,7583,1829,123194,86764,23976,6594,1489,118827,72037,19026,3087,971,95121,59903,15400,2063,718,78083,50092,13534,2031,656,66312,36303,11670,2021,510,50498,21297,10226,1804,324,33647,7967,6385,1066,211,15629,2442,3321,409,128,6298
207,268,2481,408,39,3190,2289,3933,406,142,6770,5065,2234,227,194,7713,6337,1631,239,153,8357,6372,1404,203,125,8101,5793,1109,144,102,7152,5488,1097,150,80,6810,5223,1121,180,105,6631,4306,1185,196,63,5752,2949,1354,189,42,4532,1246,1119,150,31,2544,437,779,49,12,1278,191,525,44,23,786,45962,19965,2574,1112,69615,140,3537,507,26,4209,2253,5261,598,127,8243,5551,3366,478,132,9524,5406,3532,842,134,9915,4597,4123,692,107,9516,4027,3971,304,79,8391,4579,4115,254,81,9031,4546,4042,291,75,8964,3481,3669,301,68,7522,2195,2957,304,27,5477,704,1596,181,21,2500,187,703,67,17,971,47,354,44,30,473,37717,41221,4871,932,84739,403,6014,915,65,7396,4538,9194,1006,272,15013,10615,5598,701,326,17236,11736,5160,1083,289,18272,10969,5526,895,227,17621,9823,5084,457,179,15546,10065,5210,398,159,15836,9767,5169,472,183,15596,7793,4851,500,134,13279,5139,4305,490,70,10007,1957,2708,328,52,5043,622,1477,118,27,2247
208,557,3220,484,48,4302,3202,4591,572,152,8512,5992,2543,290,241,9066,6893,1632,249,212,8986,7025,1401,201,160,8793,6393,1217,181,142,7933,6746,1305,181,126,8357,6491,1391,201,114,8199,5485,1449,202,80,7215,3795,1614,225,67,5699,1726,1322,141,33,3231,648,893,82,16,1637,243,605,44,15,912,55208,23172,3045,1409,82836,184,4476,697,51,5406,2488,6278,936,144,9847,5101,3490,561,179,9342,4597,3545,813,147,9103,4061,4287,598,137,9084,3929,4175,336,105,8543,4756,4466,296,108,9625,4827,4516,360,93,9801,3721,3951,379,74,8121,2208,3279,319,54,5860,827,1813,186,26,2853,224,904,67,22,1220,61,338,47,20,459,36987,45519,5602,1163,89271,747,7694,1173,93,9708,5691,10870,1508,299,18358,11097,6035,854,423,18408,11492,5179,1062,357,18087,11084,5689,799,299,17876,10317,5397,515,245,16476,11502,5770,482,232,17981,11321,5910,566,209,17997,9209,5398,575,159,15340,6007,4882,546,125,11565,2557,3137,325,60,6079,871,1796,149,35,2855
209,799,3155,363,61,4375,3639,3923,393,221,8168,6380,2492,304,280,9460,7348,1920,303,284,9851,7407,1813,234,229,9677,6628,1476,213,148,8459,6408,1381,191,135,8115,6095,1379,231,126,7829,5267,1355,235,108,6961,3697,1456,272,62,5487,1586,1070,142,37,2837,457,584,67,24,1130,182,355,44,24,605,55878,22356,2987,1734,82955,225,4529,572,61,5388,2636,5348,664,187,8842,5428,3585,619,197,9829,5010,4555,1028,164,10761,4159,5144,719,138,10154,4182,4779,376,114,9454,4585,4657,312,98,9652,4482,4348,361,91,9289,3484,3870,370,96,7822,2094,3136,368,54,5654,708,1500,194,28,2432,160,474,48,12,684,44,194,28,18,285,37197,46116,5667,1265,90245,1022,7683,938,123,9769,6272,9270,1057,410,17011,11804,6082,921,479,19285,12359,6476,1332,450,20605,11558,6955,951,366,19833,10807,6256,582,257,17911,10997,6042,504,232,17773,10576,5723,599,222,17112,8755,5224,611,204,14787,5793,4594,643,114,11138,2295,2569,343,72,5270,612,1053,111,35,1815
210,1000,2490,310,79,3876,4468,3519,329,243,8558,7610,2653,286,373,10926,9056,2051,336,311,11750,9462,1867,309,297,11944,8071,1529,298,240,10140,7926,1517,290,181,9915,7826,1526,337,156,9851,6770,1480,345,108,8704,4408,1388,285,101,6181,1654,851,144,35,2690,406,465,62,22,956,185,235,22,17,460,68842,21559,3368,2167,95945,237,3159,414,73,3882,2230,3627,477,175,6508,4196,2536,506,180,7419,3925,3128,758,194,8002,3632,3594,563,143,7935,3613,3331,329,103,7374,3771,3238,265,116,7385,3843,3091,319,84,7337,2875,2593,332,81,5884,1644,1918,265,51,3868,507,868,133,30,1535,106,290,44,18,456,32,112,14,8,170,30626,31480,4406,1244,67751,1236,5642,729,152,7760,6697,7144,809,412,15069,11809,5189,794,554,18344,12978,5175,1089,504,19752,13101,5463,874,442,19873,11688,4854,626,344,17508,11698,4757,558,290,17304,11672,4625,658,237,17189,9647,4075,676,193,14582,6052,3303,547,143,10052,2157,1719,282,67,4224,512,757,102,42,1411
