POW_SA4_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
201,9,3,7,35,22,0,3,10,0,94,4,14,23,36,38,0,11,18,3,141,9,44,35,41,73,0,61,34,3,295,11,42,42,23,50,0,27,11,5,213,25,79,13,14,42,0,8,5,4,191,17,52,4,4,16,0,0,8,3,105,65,44,6,7,14,0,3,3,4,139,18,6,0,0,4,0,0,0,0,29,10,0,0,0,0,0,0,0,0,15,0,0,0,0,3,0,0,4,0,3,177,297,136,225,296,7,118,159,21,1437,144,25,34,35,47,56,11,59,11,425,85,86,64,414,86,923,36,640,10,2348,156,132,153,390,143,636,52,473,13,2149,197,157,206,455,243,533,74,413,20,2301,245,230,390,584,304,527,113,533,23,2961,435,380,741,945,599,861,204,790,41,4997,571,483,1006,1096,756,840,326,940,42,6067,778,757,1592,1225,1016,799,647,1110,50,7985,1090,1205,1710,995,1094,541,763,826,77,8297
202,3,16,9,33,26,0,0,16,0,97,5,24,11,40,33,0,7,24,0,141,8,43,27,18,66,0,38,37,0,246,15,44,16,17,58,0,28,18,5,204,30,84,16,13,55,0,14,12,6,228,18,59,10,4,35,0,3,5,0,139,61,54,6,7,15,0,0,0,4,147,10,4,4,0,0,0,0,0,0,13,9,6,0,0,0,0,0,0,0,10,0,3,0,4,5,0,0,0,0,15,163,349,105,201,327,7,96,168,17,1437,135,26,36,35,39,39,15,56,19,394,82,68,72,338,85,894,49,697,23,2307,119,125,144,363,126,667,61,484,22,2112,184,172,190,402,197,434,93,407,16,2084,237,182,381,499,319,546,118,500,11,2788,380,351,759,890,585,737,217,816,35,4769,528,467,921,1095,716,767,349,1173,58,6081,852,699,1416,1221,1022,710,656,1540,77,8190,1068,1122,1516,878,1041,522,790,1079,79,8093
203,9,19,17,88,37,6,0,29,0,197,9,39,29,84,59,0,8,20,0,250,21,66,53,78,84,0,41,47,7,395,22,110,49,46,115,0,20,19,3,395,34,151,37,33,90,0,11,5,12,374,45,146,19,19,44,0,9,12,11,304,90,160,17,14,41,0,0,0,6,334,25,10,0,0,0,0,0,0,0,37,30,12,3,0,0,0,0,0,0,50,0,5,0,8,4,0,0,4,0,18,295,745,247,549,536,10,93,253,42,2769,131,76,66,75,80,92,28,84,27,661,94,159,157,895,138,1885,90,1220,44,4687,164,247,293,874,308,1336,151,897,37,4313,236,296,397,987,444,1002,210,779,43,4387,317,391,726,1176,546,1094,249,975,49,5526,538,689,1242,1961,980,1484,455,1299,71,8717,772,1010,1765,2250,1215,1352,755,1448,65,10635,1176,1424,2426,2352,1731,1363,1418,1866,133,13901,1787,2424,2976,1781,2055,1044,1506,1464,177,15200
204,12,14,6,34,36,0,11,23,0,134,13,41,24,28,67,0,14,29,3,214,23,64,57,30,105,0,41,61,6,389,27,98,31,17,77,0,22,30,5,314,40,103,29,18,45,0,7,4,4,240,35,54,16,13,19,0,0,6,0,141,85,55,11,7,11,0,0,0,7,179,17,0,0,0,0,0,0,0,0,18,21,4,0,0,0,0,0,0,0,29,0,5,0,0,0,0,0,0,0,4,288,446,195,230,407,3,101,221,31,1914,226,27,63,45,47,44,18,87,17,582,110,57,105,458,102,846,37,743,21,2486,262,102,156,367,151,574,63,568,28,2264,363,144,209,437,200,403,91,498,24,2373,409,207,465,528,293,482,119,582,30,3110,674,314,783,1015,566,828,260,973,48,5448,815,418,1053,1329,780,898,443,1265,61,7057,1090,652,1617,1288,1026,800,968,1497,76,9003,1536,1009,1876,989,1085,536,1208,1225,121,9589
205,6,17,16,67,52,3,3,16,0,180,15,34,27,34,103,5,18,34,5,269,17,66,53,45,129,3,39,68,12,435,24,81,42,27,134,0,14,39,10,371,34,122,29,11,101,0,7,11,3,328,41,111,25,9,50,0,4,6,8,245,96,92,16,12,30,0,0,4,3,253,31,10,0,0,0,0,0,0,0,43,29,0,0,0,0,0,0,0,0,38,5,3,0,0,0,0,3,3,4,13,312,552,232,344,669,17,92,302,54,2565,341,48,82,54,73,89,37,111,30,865,212,115,153,658,124,1483,63,989,32,3835,352,193,275,586,260,1006,86,804,30,3580,503,205,411,655,403,734,117,767,41,3839,597,283,748,899,546,851,170,904,40,5028,926,486,1316,1528,988,1310,289,1391,60,8300,1162,669,1549,1865,1250,1308,550,1697,92,10143,1565,957,2148,1725,1681,1298,1027,1929,132,12465,1900,1477,2390,1390,1650,872,1122,1437,130,12371
206,21,47,31,90,65,0,10,43,8,309,31,95,42,122,119,7,20,43,5,477,53,143,64,129,260,11,32,74,7,775,76,233,71,92,282,0,24,47,16,838,95,380,69,68,307,3,6,30,18,974,115,407,55,45,205,13,9,12,20,881,377,666,56,49,215,5,10,14,27,1421,93,62,5,0,13,0,0,3,0,180,169,61,7,3,24,0,0,0,3,263,4,6,3,0,6,0,6,3,5,36,1061,2156,426,732,1585,52,133,416,125,6676,489,568,206,323,331,268,54,195,182,2621,220,887,254,1899,585,2410,156,1517,132,8059,388,1385,579,2872,1307,2768,308,1570,141,11315,639,1759,945,3439,1696,2776,433,1761,176,13627,829,2088,1560,3837,2371,2888,617,2558,215,16969,1581,3625,2848,5973,4288,3976,1022,3923,339,27579,2448,5144,4122,6826,6190,4041,1364,4001,490,34626,4457,9643,6520,7261,10974,4391,2025,4107,755,50139,8019,20269,8683,6653,17862,4590,1980,3078,1096,72238
207,5,22,12,27,17,0,0,16,0,105,7,27,17,22,39,0,6,12,0,131,10,44,24,23,61,0,16,31,0,215,16,63,53,14,81,0,12,32,3,280,20,104,20,11,88,0,14,13,3,279,21,117,22,9,43,0,5,0,7,236,71,119,19,10,34,0,0,3,8,267,15,20,0,0,3,0,0,0,0,35,30,11,0,0,6,0,0,0,0,51,0,0,0,0,4,0,0,0,3,10,207,550,199,188,424,8,49,221,33,1870,182,153,66,98,95,116,21,68,41,827,125,506,127,1181,296,1778,86,903,45,5039,195,686,255,1306,532,1652,110,687,52,5481,335,645,386,1328,660,1313,114,674,76,5524,356,760,524,1380,730,1243,135,676,82,5891,631,1147,942,1928,1275,1471,218,942,105,8663,827,1528,1261,2152,1725,1386,296,934,118,10222,1262,2420,1875,2266,2343,1283,439,922,156,12979,1867,3834,2089,2071,2813,1183,444,727,208,15233
208,3,14,9,104,44,3,0,28,0,205,5,35,33,99,43,0,3,30,3,253,23,60,45,101,116,0,3,36,6,384,31,102,42,61,122,3,14,34,6,409,33,125,20,25,85,0,8,12,5,306,54,150,11,21,66,0,4,6,4,315,74,145,24,11,52,0,0,4,5,317,26,9,3,0,3,0,0,0,0,46,31,12,0,0,0,0,0,0,0,43,0,5,0,8,4,0,0,3,0,11,280,692,209,566,558,14,45,291,34,2677,238,160,97,130,126,157,34,101,43,1084,109,422,157,1420,313,2218,124,1216,49,6032,200,566,286,1545,565,1982,174,851,52,6221,299,597,478,1400,695,1524,202,772,58,6022,390,676,803,1572,864,1623,276,864,67,7132,708,1107,1405,2407,1414,2018,474,1286,98,10922,1035,1479,1960,2608,1874,1830,896,1659,137,13482,1693,2437,3055,2945,2525,1926,1649,2225,209,18670,2517,3937,3533,2512,3246,1644,1563,1545,281,20790
209,4,24,9,51,47,0,4,47,0,185,13,44,27,70,58,0,11,32,3,260,12,108,40,57,108,7,36,56,4,433,31,127,58,37,157,0,30,34,12,495,46,185,43,36,125,0,22,11,8,477,48,185,32,31,71,0,7,13,12,395,106,201,21,19,77,0,5,3,8,444,35,9,4,0,4,0,0,0,3,52,39,17,6,0,3,0,0,0,0,65,0,5,0,3,6,0,3,3,0,26,341,929,261,408,726,10,127,458,61,3329,156,115,116,113,127,139,49,125,54,1004,113,314,184,976,282,2435,99,1234,61,5698,195,449,358,1159,488,2176,214,953,49,6050,301,507,510,1253,660,1468,295,837,67,5888,370,597,837,1408,841,1528,376,1018,75,7055,677,1010,1572,2223,1438,1917,676,1526,101,11136,936,1377,2122,2647,1890,1768,1183,1889,143,13943,1522,2006,2940,3087,2610,1692,2055,2516,212,18641,2168,3165,3508,2424,2851,1396,2042,1776,292,19618
210,5,29,11,62,31,0,3,11,0,152,7,45,10,64,35,0,7,9,4,184,12,50,39,56,57,3,23,34,4,269,21,67,62,23,80,4,25,33,7,329,27,102,52,33,65,0,27,19,3,326,18,93,24,12,31,3,7,9,4,207,50,97,13,12,23,0,3,6,4,209,14,5,0,0,7,0,0,0,0,27,19,3,0,0,4,0,0,0,0,27,0,0,0,0,0,0,0,5,0,4,171,543,237,416,354,5,93,189,29,2048,124,85,135,98,137,147,79,157,35,996,74,197,180,615,175,1624,114,929,56,3958,161,288,275,768,439,1519,282,862,50,4633,206,299,540,801,550,1093,405,803,66,4763,314,358,903,996,732,1103,560,971,71,6007,596,579,1533,1723,1354,1412,1059,1473,140,9865,783,844,2196,2068,1882,1555,1865,2311,244,13748,1394,1344,3363,2444,2902,1524,3724,3271,336,20307,2124,2351,4087,2109,3638,1341,3867,2413,376,22303
