POW_SA4_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
201,8837,14552,9523,9668,8531,6717,3889,7412,1066,70192
202,8764,14965,8920,9347,7987,6284,4134,8231,1112,69726
203,15919,30503,18456,18607,15704,12845,7482,12807,2242,134572
204,12354,13095,10799,10817,7712,6449,5633,9669,1422,77944
205,16302,19813,16161,15128,12882,10433,6778,13380,2211,113091
206,136928,301895,56595,60461,118797,44234,14454,30504,14836,778703
207,21962,51034,13261,19060,20579,14737,2944,8068,2706,154349
208,24343,41564,21063,21993,20181,19153,7544,13154,3116,172105
209,19234,42517,22285,22634,20230,17446,10516,15182,3154,173204
210,19762,26030,25239,17869,21607,14316,17944,17220,3720,163696
211,26026,38536,28417,23210,23923,19711,11794,19207,3503,194328
212,45750,75151,47658,34580,45791,31640,31928,34575,7366,354435
213,30229,51576,34053,31724,31102,27452,35868,27199,6074,275280
214,13165,21924,17018,16147,12385,11975,4692,11241,1972,110525
215,12475,10611,7953,8308,6788,5739,4293,9467,1455,67092
216,9221,9996,7764,6903,6244,5387,3966,8367,1140,58982
217,10656,9194,7314,6970,5418,4977,3941,8342,1053,57849
297,6,36,56,13,4,0,28,48,5,194
299,11207,17584,46450,14088,6882,4695,10174,22816,3580,137478
