POW_SA4_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
201,802,0,0,808,6,844,26,66,0,88,4,0,0,4,777,6,0,787,4,882,32,100,0,133,166,15,0,177,323,10,0,329,4,638,42,117,3,165,336,33,0,374,11,5,0,23,10,564,209,418,0,626,1306,276,4,1583,46,56,0,104,21,2337,130,239,0,372,366,309,0,671,15,56,0,71,13,1130,149,825,7,979,354,1119,5,1468,63,278,0,349,193,3001,594,1790,7,2397,2524,1744,9,4274,2574,416,3,2999,256,9936
202,766,0,0,771,6,795,14,35,0,50,0,0,0,0,788,0,0,790,7,846,39,90,0,135,118,5,0,125,405,8,0,417,10,686,66,142,0,212,279,22,0,307,18,10,0,30,0,547,218,437,0,653,1060,238,0,1298,39,58,0,93,36,2080,111,245,0,354,242,241,0,486,27,49,0,72,28,941,216,838,7,1064,312,1026,0,1338,60,268,6,331,210,2946,683,1805,10,2500,2019,1539,5,3561,2616,394,4,3013,287,9359
203,1450,0,0,1452,9,1506,26,76,0,103,4,3,0,10,1523,3,0,1528,8,1651,71,161,0,236,391,31,0,419,757,14,0,764,15,1433,117,257,0,373,870,67,0,942,29,15,0,51,4,1361,480,956,6,1441,3423,710,4,4137,103,124,0,230,41,5853,291,533,0,824,896,688,5,1586,112,138,4,254,30,2702,407,1656,5,2071,731,1960,13,2703,127,570,7,704,317,5795,1409,3683,17,5101,6318,3461,15,9798,4996,866,15,5877,430,21213
204,828,0,0,827,6,852,18,84,0,107,0,0,0,5,826,3,0,826,16,951,68,161,0,223,78,12,3,95,410,8,0,422,3,745,84,195,0,280,138,21,0,168,37,4,0,45,12,501,306,538,3,850,623,210,0,826,37,51,0,87,43,1807,181,292,4,478,181,259,0,440,25,52,0,77,32,1026,232,1075,9,1321,261,1079,6,1350,66,298,10,367,309,3345,902,2363,18,3285,1281,1578,16,2879,2869,421,10,3297,429,9891
205,1242,9,0,1244,17,1313,36,117,0,150,3,0,0,3,1163,9,0,1177,28,1353,69,205,3,279,139,22,0,167,638,24,0,656,21,1125,73,271,3,344,286,42,5,327,17,33,0,48,11,738,248,735,3,986,1016,309,4,1327,45,68,3,121,58,2496,138,388,0,527,293,390,0,681,35,69,4,109,37,1350,247,1398,8,1645,470,1459,10,1937,78,396,12,483,541,4611,828,3141,22,3994,2212,2220,11,4442,4090,605,21,4714,718,13879
206,1469,0,0,1469,6,1510,35,43,0,78,20,0,0,20,1687,3,0,1693,6,1795,153,191,0,344,1674,71,0,1743,846,13,0,858,8,2963,318,283,3,601,3576,265,0,3851,91,31,0,121,14,4595,2499,2201,12,4710,20257,4628,9,24890,772,775,5,1554,153,31341,2234,2700,7,4942,7567,6175,20,13760,890,1433,5,2331,148,21200,2790,7449,19,10256,5728,15537,82,21344,1083,4049,26,5161,906,37686,8056,12869,43,20967,38813,26682,113,65617,7659,6313,38,14007,1256,101912
207,1014,0,0,1014,4,1027,12,14,0,24,9,0,0,13,1229,5,0,1235,0,1273,46,43,0,89,884,37,3,928,657,5,0,661,0,1674,118,104,0,222,1795,96,3,1894,30,12,0,38,4,2160,567,565,4,1140,6376,1078,5,7455,176,134,4,311,29,8949,459,491,0,955,1547,919,8,2467,199,234,3,432,36,3883,595,1785,4,2390,1241,2708,10,3962,258,899,6,1168,183,7706,1800,3021,7,4829,11854,4836,29,16714,4159,1283,16,5452,258,27266
208,1452,0,0,1452,0,1478,27,34,0,58,0,0,0,0,1656,0,0,1656,4,1718,70,118,0,185,1028,43,5,1069,846,10,0,859,3,2120,148,207,0,353,1937,139,4,2079,28,9,0,45,3,2474,862,991,0,1857,7249,1138,4,8393,244,175,0,415,42,10720,531,694,3,1227,1544,897,8,2443,221,202,3,428,30,4135,702,2048,6,2758,1059,2129,16,3202,272,864,9,1149,258,7372,2350,4096,18,6462,12818,4341,29,17192,5514,1258,14,6792,348,30813
209,1472,0,0,1478,5,1518,34,52,0,85,12,0,0,12,1701,4,0,1705,5,1802,101,133,0,236,762,33,0,802,907,17,0,921,7,1969,147,266,0,423,1390,102,0,1495,43,31,0,74,3,1995,753,952,10,1707,5300,845,9,6156,239,179,3,421,54,8341,475,558,4,1040,1415,859,5,2280,210,211,4,426,40,3793,723,1975,8,2702,1316,2659,10,3979,337,913,13,1262,308,8267,2261,3949,22,6236,10189,4504,22,14722,5859,1354,17,7226,419,28624
210,1139,0,0,1145,3,1175,31,40,0,73,4,0,0,3,1226,0,0,1229,4,1313,83,146,0,237,610,39,0,651,589,23,0,608,0,1499,144,252,4,396,997,73,0,1073,31,27,0,52,8,1531,766,987,3,1760,3636,639,8,4279,254,180,6,438,43,6529,474,656,0,1129,936,523,7,1466,248,212,0,458,36,3095,610,1822,19,2454,785,1549,13,2345,377,783,11,1174,302,6278,2123,3919,32,6077,6967,2830,22,9821,4528,1226,20,5772,407,22093
