POW_SA4_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
201,0,3,4,3,0,0,0,17,11,3,0,0,0,0,0,9,77,62,38,33,10,4,0,223,84,67,42,34,18,4,0,249,313,1510,2523,2601,1999,839,214,10002,2166,1729,1392,1253,1328,427,55,8352,89,81,58,61,87,42,33,446,11125,14341,13826,14556,12309,3488,552,70192
202,4,0,0,0,0,0,0,8,8,3,0,4,0,0,0,14,22,37,22,20,8,3,0,110,35,41,22,22,7,3,0,135,308,1482,2485,2760,2040,935,249,10255,2045,1635,1384,1249,1396,479,47,8252,77,57,66,63,68,41,29,412,10735,13870,13948,14541,12424,3643,565,69726
203,29,23,15,10,0,0,0,76,20,20,5,4,0,0,0,47,105,105,84,35,29,7,5,364,149,148,98,47,30,9,5,490,796,4410,6662,5938,4019,1558,277,23654,4487,3357,2887,2244,2308,806,64,16152,134,125,114,102,82,42,47,641,21864,29633,28540,27029,20899,5855,755,134572
204,4,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,33,31,28,18,24,11,0,137,36,28,28,17,24,11,0,148,268,1087,1896,2424,2253,1516,532,9972,2060,1601,1342,1281,1581,613,85,8564,120,81,91,94,67,81,58,584,11795,14172,14362,16112,14933,5434,1134,77944
205,15,10,9,0,6,0,0,30,10,6,0,0,0,0,0,13,34,32,20,25,24,11,3,144,55,42,22,30,30,11,3,191,438,2081,3110,3399,3246,1996,658,14927,2985,2519,2092,2025,2543,865,90,13116,176,135,136,141,172,108,84,957,16442,21485,21532,23367,21736,7162,1364,113091
206,1107,1874,1297,633,366,102,5,5392,46,45,30,23,6,4,0,153,407,847,382,166,110,42,5,1960,1564,2770,1709,819,484,144,14,7505,18429,111379,124043,80772,39031,8985,1081,383718,16700,24202,18473,10171,8015,2981,437,80971,449,876,637,397,315,164,131,2966,78333,233178,213947,144395,84149,21928,2778,778703
207,155,152,62,47,28,8,0,451,26,12,11,5,3,0,0,59,68,115,40,36,22,6,4,295,250,281,112,86,50,19,4,802,2407,11109,14079,13488,8554,2886,608,53134,5963,3885,3096,2588,2531,924,150,19138,73,150,103,100,68,43,37,566,22410,35513,33161,31430,23287,7292,1259,154349
208,222,248,79,53,38,13,7,661,15,13,6,0,3,4,0,42,114,159,63,42,29,15,3,425,356,420,151,97,64,29,10,1123,1793,7004,10193,11287,7212,2809,546,40851,7560,4158,3207,2896,2718,1083,185,21796,109,177,146,125,82,53,35,714,28066,36501,34352,35976,26902,8939,1372,172105
209,120,153,49,32,12,4,0,368,31,20,9,3,9,0,0,71,104,164,104,58,41,11,4,480,251,340,159,93,51,18,4,921,1336,6454,8980,8181,5417,1741,285,32389,6257,4516,3759,2981,2720,966,119,21311,115,180,146,94,96,37,37,713,26776,39894,37748,34888,25929,7087,893,173204
210,88,109,64,27,14,8,0,317,28,17,9,3,6,0,0,54,131,168,142,77,45,13,0,577,247,286,212,115,68,19,0,945,1027,5176,7454,6479,3894,1061,162,25253,4148,3577,3173,2889,2379,706,63,16939,145,210,176,115,89,38,21,785,22829,38094,37381,34490,24636,5635,626,163696
