lga,facilities_p,radius_m,population_total,population_covered,population_coverage_pct,sa1_total,sa1_covered
MELBOURNE,15,1500,149620.0,128074.0,85.59951878091164,352,285
YARRA,15,1500,90106.0,71373.0,79.21004150666992,207,164
STONNINGTON,15,1500,104651.0,69079.0,66.00892490277207,248,156
PORT PHILLIP,15,1500,101906.0,64000.0,62.80297529095441,248,154
MARIBYRNONG,15,1500,85210.0,31494.0,36.960450651332,196,66
MOONEE VALLEY,15,1500,121848.0,41963.0,34.43880900794432,278,96
GLEN EIRA,15,1500,148879.0,32910.0,22.105199524446025,340,79
MERRI-BEK,15,1500,171365.0,36794.0,21.471128876958538,383,82
DAREBIN,15,1500,148596.0,31750.0,21.36665859107917,335,70
BOROONDARA,15,1500,167842.0,28602.0,17.041026679853672,401,66
WHITEHORSE,15,1500,169422.0,26910.0,15.88341537698764,383,54
BANYULE,15,1500,126265.0,0.0,0.0,300,0
BAYSIDE,15,1500,101268.0,0.0,0.0,226,0
MONASH,15,1500,190435.0,0.0,0.0,450,0
MELBOURNE,30,1500,149620.0,136084.0,90.95308113888518,352,307
YARRA,30,1500,90106.0,72989.0,81.00348478458704,207,165
PORT PHILLIP,30,1500,101906.0,78747.0,77.2741546130748,248,185
STONNINGTON,30,1500,104651.0,77819.0,74.36049344965647,248,180
GLEN EIRA,30,1500,148879.0,93305.0,62.671699836780206,340,218
MERRI-BEK,30,1500,171365.0,103817.0,60.582382633559945,383,235
DAREBIN,30,1500,148596.0,82051.0,55.217502489972816,335,174
BOROONDARA,30,1500,167842.0,81634.0,48.6374089917899,401,191
MOONEE VALLEY,30,1500,121848.0,46233.0,37.943175103407526,278,107
MARIBYRNONG,30,1500,85210.0,31494.0,36.960450651332,196,66
BAYSIDE,30,1500,101268.0,32912.0,32.49990125212308,226,73
WHITEHORSE,30,1500,169422.0,45293.0,26.733836219617288,383,92
MONASH,30,1500,190435.0,28902.0,15.17683198991782,450,69
BANYULE,30,1500,126265.0,0.0,0.0,300,0
MELBOURNE,40,1500,149620.0,142634.0,95.33083812324556,352,322
PORT PHILLIP,40,1500,101906.0,85094.0,83.50244342825741,248,202
YARRA,40,1500,90106.0,73253.0,81.29647304286063,207,166
MARIBYRNONG,40,1500,85210.0,68946.0,80.91303837577749,196,151
STONNINGTON,40,1500,104651.0,84332.0,80.58403646405672,248,194
GLEN EIRA,40,1500,148879.0,103597.0,69.58469629699286,340,242
MERRI-BEK,40,1500,171365.0,103817.0,60.582382633559945,383,235
DAREBIN,40,1500,148596.0,82051.0,55.217502489972816,335,174
BOROONDARA,40,1500,167842.0,88762.0,52.88426019709012,401,207
WHITEHORSE,40,1500,169422.0,82903.0,48.93284225189173,383,178
BAYSIDE,40,1500,101268.0,43040.0,42.50108622664613,226,96
MONASH,40,1500,190435.0,78109.0,41.01609473048547,450,183
MOONEE VALLEY,40,1500,121848.0,47190.0,38.72857987000197,278,108
BANYULE,40,1500,126265.0,20156.0,15.963251890864452,300,44
